Species,Common name,Adult weight (g),Male maturity (days),Gestation/Incubation (days),Litter/Clutch size,Maximum longevity (yrs)
lutreola,European mink,590,323,54,4,8.4
nigripes,Black-footed ferret,1021,365,43,3,9.4
nivalis,Least weasel,46.9,120,36,5,9.1
putorius,European polecat,809,322,42,7.5,11.1
sibirica,Siberian weasel,565,,29,6,8.8
vison,American mink,925,371,42,4.5,11.4
brasiliensis,Giant otter,24000,,68,1.5,17.3
taxus,American badger,8000,441,41,3,25
peregusna,Marbled polecat,542.5,,61,5.76,8.8
binotata,African palm civet,1900,1095,64,2,21
australis,South American fur seal,110000,2556,236,1,30.6
pusillus,South African fur seal,127551,1643,368,1,32.1
jubatus,Steller sea lion,415000,2420,274,1,32.8
cinerea,Australian sea lion,190000,2191,258,1,24.1
flavescens,Southern sea lion,207500,2191,357,1,29
californianus,California sea lion,180000,1826,259,1.2,35.7
grypus,Gray seal,268000,1887,240,1,42.9
vitulina,Harbor seal,115000,1460,253,1,47.6
hispida,Ringed seal,90000,2191,251,1,46
sibirica,Baikal seal,90000,2557,273,1.02,56
alleni,Allen's olingo,1235,,,,25.2
gabbii,Olingo,1235,594,73,1,21.8
astutus,Ringtail,1015,300,52,3,19
sumichrasti,Cacomistle,900,300,64,2,24
narica,White-nosed coati,3750,712,78,4.17,26.4
nasua,South american coati,4750,730,73,4,23.7
flavus,Kinkajou,3000,550,115,1,38.4
cancrivorus,Crab-eating raccoon,6270,365,63,3,19
lotor,Common raccoon,6000,365,63,4,21
melanoleuca,Giant panda,117500,2192,48,1.5,36.8
malayanus,Sun bear,46000,,95,1,35.9
ursinus,Sloth bear,100000,1095,198,1.5,33.3
ornatus,Spectacled bear,109250,,228,1.5,39
americanus,American black bear,154250,1278,70,2,34
arctos,Brown bear,277500,1313,103,2,40
maritimus,Polar bear,475000,1734,65,2,43.8
thibetanus,Asiatic black bear,103750,1095,228,2,39.2
binturong,Binturong,12250,840,92,2,27
trivirgata,Small-toothed palm civet,2250,,45,2.5,16.1
civetta,African civet,13666.7,213,65,2.5,28
genetta,Small-spotted genet,1866.7,,78,2,22.7
maculata,Panther genet,2225,,,2.3,20
tigrina,Large-spotted genet,1820,,70,2.5,21.3
derbyanus,Banded palm civet,2400,,,2,16
larvata,Masked palm civet,4300,,,2.3,27.4
hermaphroditus,Asian palm civet,3100,,60,3.4,24.5
civettina,Malabar civet,12061,,,,15.4
tangalunga,Malayan civet,7350,,,2,15
zibetha,Large indian civet,10000,,80,3,21.7
mysticetus,Bowhead whale,100000000,8212,396,1,211
australis,Southern right whale,45000000,,365,1,70
glacialis,North atlantic right whale,23000000,2920,350,1,67
acutorostrata,Common minke whale,7500000,2740,312,1,50
borealis,Sei whale,20000000,3652,345,1,74
edeni,Bryde's whale,16000000,3104,376,1,72
musculus,Blue whale,136000000,1827,350,1,110
physalus,Fin whale,70000000,2864,342,1,114
novaeangliae,Humpback whale,30000000,1643,342,1,95
macrorhynchus,Short-finned pilot whale,2200000,5332,452,1,63
melas,Long-finned pilot whale,1060000,4380,450,1,60
griseus,Risso's dolphin,425000,,365,1,42.5
acutus,Atlantic white-sided dolphin,208000,,316,1.25,27
obliquidens,Pacific white-sided dolphin,103000,,320,1,46
brevirostris,Irrawaddy dolphin,190000,1826,426,1,30
orca,Killer whale,3987500,4930,435,1,90
electra,Melon-headed whale,206000,2465,365,1,47
crassidens,False killer whale,748000,6756,451,1,62.5
attenuata,Pantropical spotted dolphin,112500,3956,345,1,46
coeruleoalba,Striped dolphin,112500,3025,350,1.5,57.5
bredanensis,Rough-toothed dolphin,114000,,,,32
truncatus,Bottlenosed dolphin,200000,3689,365,1,51.6
robustus,Gray whale,28500000,2922,395,1,77
bairdii,Baird's beaked whale,11380000,2922,517,1,84
ampullatus,Northern bottlenose whale,6500000,3287,365,1,37
europaeus,Gervais's beaked whale,5600000,,,,48
cavirostris,Cuvier's beaked whale,2701000,,365,1,62
geoffrensis,Amazon dolphin,84000,,287,1,31.3
vexillifer,Yangzte river dolphin or baiji,83500,,319,1,24
breviceps,Pygmy sperm whale,424600,,335,1,17
leucas,Beluga,1430000,2283,416,1,40
monoceros,Narwhal,1250000,2922,450,1,50
phocaenoides,Finless porpoise,32500,1460,320,1,33
phocoena,Harbor porpoise,52500,1461,320,1,20.4
dalli,Dall's porpoise,120000,2375,347,1,22
macrocephalus,Sperm whale,28500000,3650,502,1,77
bilineata,Greater sac-winged bat,7.9,,,1,6
fulvus,Fulvus roundleaf bat,7,563,158,1,13
gigas,Australian false vampire bat,150,,,1,22.6
lyra,Greater false vampire bat,38.6,450,150,1,14
schreibersii,Schreibers's long-fingered bat,13,730,100,1,22
molossus,Pallas's mastiff bat,14,,108,1,5.6
brasiliensis,Brazilian free-tailed bat,12.5,547,78,1,12
teniotis,European free-tailed bat,35,,,1,13
tuberculata,New Zealand lesser short-tailed bat,23.5,,,1,7.6
leporinus,Greater bulldog bat,50,,,1,11.8
geoffroyi,Geoffroy's tailless bat,15.2,,120,1,10
jamaicensis,Jamaican fruit-eating bat,42.2,289,76,1,19.2
perspicillata,Seba's short-tailed bat,15,258,95,1,17
rotundus,Vampire bat,33.2,285,189,1,29.2
ecaudata,Hairy-legged vampire bat,28,,,1,8
soricina,Pallas's long-tongued bat,10,,106,1,11
curasoae,Southern long-nosed bat,25,,122,1,10.1
californicus,California leaf-nosed bat,11.6,,270,1,17
waterhousii,Waterhouse's leaf-nosed bat,16,,,1,10.4
discolor,Pale spear-nosed bat,43.4,,105,1,9
hastatus,Greater spear-nosed bat,81,,120,1,18
lineatus,White-lined broad-nosed bat,22,,106,1,13
lilium,Little yellow-shouldered bat,20,,105,1,12
brachyotis,Lesser short-nosed fruit bat,45,213,112,1,10.1
sphinx,Greater short-nosed fruit bat,75,525,120,1.2,10
moluccensis,Moluccan naked-backed fruit bat,430,,150,1,12.3
helvum,Straw-colored fruit bat,306.25,,275,1,21.8
gambianus,Gambian epauletted fruit bat,80,,150,1,7.8
wahlbergi,Wahlberg's epauletted fruit bat,80,,165,1,10.1
fischeri,Philippine pygmy fruit bat,18,315,90,1,10
alecto,Black flying fox,672.1,,,1.2,19.7
dasymallus,Ryukyu flying fox,435,,,1,24
giganteus,Indian flying fox,1175,365,145,1,40
hypomelanus,Variable flying fox,450,,,1,20.3
livingstonii,Comoro black flying fox,696.5,,152,1,15
lylei,Lyle's flying fox,316.7,,,,20.4
niger,Greater mascarene flying fox,456.3,,,1,19.4
poliocephalus,Gray-headed flying fox,675,540,190,1,23.6
pselaphon,Bonin flying fox,,,,1,16.7
pumilus,Little golden-mantled flying fox,200,,,,17.2
rodricensis,Rodriguez flying fox,350,,198,1,28
scapulatus,Little red flying fox,300,540,,1,15.8
vampyrus,Large flying fox,872,,,1,20.9
aegyptiacus,Egyptian rousette,125,365,116,1,22.9
lanosus,Long-haired rousette,103,,,,18.7
leschenaultii,Leschenault's rousette,108.25,455,115,1,14
euryale,Mediterranean horseshoe bat,8.2,821,90,1,13
ferrumequinum,Greater horseshoe bat,22.875,730,80,1,30.5
hipposideros,Lesser horseshoe bat,4.6,471,67,1,29.4
pallidus,Pallid bat,20.8,365,62,2,14.8
barbastellus,Western barbastelle,10.25,,,2,23
townsendii,Townsend's big-eared bat,14.25,,78,1,20.5
fuscus,Big brown bat,23,730,35,2,19
nilssonii,Northern bat,13,,,1.5,20
serotinus,Serotine,18.2,,68,1.5,21
noctivagans,Silver-haired bat,10,152,55,2,12
cinereus,Hoary bat,24,,56,2,14
bechsteinii,Bechstein's bat,10.5,,,1,21
blythii,Lesser mouse-eared bat,23,,,1,33
brandtii,Brandt's bat,7,,,,41
dasycneme,Pond bat,15,,,1,20.5
daubentonii,Daubenton's bat,8.5,730,54,1,28
emarginatus,Geoffroy's bat,11,456,,1,22.7
evotis,Western long-eared myotis,7.4,,,1,22
grisescens,Gray myotis,9.25,456,,1,16.5
keenii,Keen's myotis,7.4,,,1,19
leibii,Eastern small-footed myotis,5.6,,,1,12
lucifugus,Little brown bat,10,210,55,1,34
myotis,Mouse-eared bat,28.55,502,65,1,37.1
mystacinus,Whiskered bat,5.3,456,,1,24
nattereri,Natterer's bat,7.5,,,1,23.7
nigricans,Black myotis,4.2,98,55,1,7
sodalis,Indiana bat,7.7,,,1,20
thysanodes,Fringed myotis,6,,55,1,18.3
velifer,Cave myotis,10.1,365,65,1,11.3
vivesi,Fish-eating bat,25,,,1,10
volans,Long-legged myotis,7,,,1,21
yumanensis,Yuma myotis,6.25,,,1,14
leisleri,Lesser noctule,16,,,1.5,16
noctula,Noctule,27.75,455,60,1.5,12
humeralis,Evening bat,9.75,,,2,6
subflavus,Eastern pipistrelle,7.5,,44,2,14.8
kuhlii,Kuhl's pipistrelle,6,,,1.5,8
nathusii,Nathusius's pipistrelle,10,91,,2,11
pipistrellus,Common pipistrelle,5,456,42,1.2,16.6
auritus,Brown big-eared bat,7.8,365,65,1.33,30
austriacus,Gray big-eared bat,12,,,,25.5
balstoni,Western broad-nosed bat,11.7,,210,1.5,9.7
murinus,Particolored bat,18.7,730,50,2,14.5
vellerosus,Screaming hairy armadillo,840,,,,16.2
villosus,Large hairy armadillo,3000,273,67,2,25.2
novemcinctus,Nine-banded armadillo,5500,365,133,4,22.3
septemcinctus,Seven-banded armadillo,1475,,132,6,16.8
sexcinctus,Six-banded armadillo,4850,274,68,2,22.1
maximus,Giant armadillo,33000,320,122,1.5,15
matacus,Southern three-banded armadillo,1500,320,120,1,36.8
pichiy,Pichi,1500,320,60,2,12.5
laniger,Kultarr,24,350,12,6,3.5
agilis,Agile antechinus,18,,27,10,4.7
bellus,Fawn antechinus,34,,30,13,3.4
flavipes,Yellow-footed antechinus,45,,25,7,3.9
stuartii,Brown antechinus,27.5,285,30,7,5.4
swainsonii,Dusky antechinus,41,,28,8,3.3
cristicauda,Mulgara,115,315,38,7,7.4
byrnei,Kowari,105,216,33,6,8
geoffroii,Western quoll,890,,16,6,6.2
hallucatus,Northern quoll,525,315,,6.8,5.9
maculatus,Australian tiger cat,5500,340,21,3,6.8
viverrinus,Eastern quoll,1090,335,20,6,6.8
apicalis,Southern dibbler,70,315,48,8,5.5
calura,Red-tailed phascogale,43,,29,7.5,4.7
tapoatafa,Brush-tailed phascogale,193.5,365,29,6.4,5.9
maculata,Pygmy planigale,10,,20,7.65,5.8
tenuirostris,Narrow-nosed planigale,5.3,,19,6,5.2
macdonnellensis,Fat-tailed marsupial mouse,32.5,350,43,6,7
harrisii,Tasmanian devil,6500,730,26,3,13
crassicaudata,Fat-tailed dunnart,15,159,14,7,5
griseoventer,Gray-bellied dunnart,17.5,,,,3.6
macroura,Stripe-faced dunnart,20,159,12,4,4.9
virginiae,Red-cheeked dunnart,34,,15,2.5,5.3
youngsoni,Lesser hairy-footed dunnart,10,,,5.5,5.3
fasciatus,Numbat,471.5,,14,4,11
derbianus,Central American woolly opossum,330,240,,3,8.7
philander,Bare-tailed woolly opossum,350,,24,4.5,8.9
minimus,Water opossum (yapok),700,,,4,3.1
aurita,Big-eared opossum,850,,,6.2,4
marsupialis,Southern opossum,1530,240,12,6,4.2
virginiana,Virginia opossum,3000,243,12,15,6.6
agilis,Paraguayan slender mouse opossum,22,,,12,6.1
crassicaudata,Lutrine opossum,370,,14,8,2.9
murina,Murine mouse opossum,26,,13,8.4,3.6
robinsoni,Robinson's mouse opossum,75,365,14,10,5
noctivagus,Rio Napo mouse opossum,21,,,,4.5
nudicaudatus,Brown four-eyed opossum,440,,,5,3
adusta,Sepia short-tailed opossum,35,,,,4.1
brevicaudata,Short bare-tailed opossum,90,180,,7,3.9
domestica,Gray short-tailed opossum,105,122,15,9,5.1
opossum,Gray four-eyed opossum,450,,,5,4.4
pygmaeus,Pygmy gliding possum,13,365,,3,8.8
parvus,Mountain pygmy possum,45,320,15,3.5,12
nanus,Eastern pygmy possum,40,190,,4,10.3
dorianus,Doria's tree kangaroo,9581,,,1,19
goodfellowi,Goodfellow's tree kangaroo,7400,,45,1,23.6
inustus,Grizzled tree kangaroo,11400,,,1,23.8
matschiei,Matschie's tree kangaroo,7200,,32,1,26.9
ursinus,Black tree kangaroo,8000,,,1,20
luctuosa,Gray dorcopsis,3570,,,1,13.9
muelleri,Brown dorcopsis,5000,,,1,12.4
macleayi,Papuan mountain wallaby,2988,,,1.2,7.9
conspicillatus,Spectacled hare-wallaby,3000,,30,1,8.8
hirsutus,Rufous hare-wallaby,1310,,,1,13.2
agilis,Agile wallaby,16000,425,29,1,16.9
antilopinus,Antilopine wallaroo,49500,,34,1,19.8
bernardus,Black wallaroo,17500,,,1,11.8
eugenii,Tammar wallaby,6500,730,28,1,15.1
fuliginosus,Western gray kangaroo,28250,880,30,1,23.2
giganteus,Eastern gray kangaroo,49500,1290,36,1,25
parma,Parma wallaby,4250,620,34,1,15.9
robustus,Wallaroo,30000,670,32,1,22
rufogriseus,Red-necked wallaby,16200,608,29,1,15.2
rufus,Red kangaroo,55000,806,33,1,25
fraenata,Ridled nail-tailed wallaby,5500,,23,1,7.4
unguifera,Northern nail-tailed wallaby,5800,,,1,5.5
brachyotis,Western rock wallaby,3700,,,1,10.1
concinna,Nabarlek,1250,,30,1,11.7
penicillata,Brush-tailed rock wallaby,6000,590,30,1,14.3
xanthopus,Ringtailed rock wallaby,6000,,31,1.1,14.4
brachyurus,Quokka,3500,389,26,1,13.8
billardierii,Tasmanian pademelon,5000,435,29,1,8.8
brunii,Dusky pademelon,,,,1,9.4
stigmatica,Red-legged pademelon,4100,,29,1,9.7
thetis,Red-necked pademelon,3800,,,1,9
bicolor,Swamp wallaby,14625,426,36,1,16.8
trivirgata,Striped possum,318,,,1.5,9.6
leadbeateri,Leadbeater's possum,127,464,16,1.5,14.1
australis,Yellow-bellied glider,572.5,,,1,15
breviceps,Sugar glider,110,456,16,2,17.8
norfolcensis,Squirrel glider,405,,20,1.5,14.8
gymnotis,Ground cuscus,2400,,13,1,18.9
maculatus,Spotted cuscus,3500,243,13,2,17
vulpecula,Brush-tailed possum,2395,730,17,1,15.9
cinereus,Koala,9300,1095,31,1,22.1
rufescens,Rufous 'rat'-kangaroo,3250,380,23,1,12.8
penicillata,Woylie,1500,,18,1,18.8
longipes,Long-footed potoroo,1650,,38,1,15.3
tridactylus,Long-nosed potoroo,1430,,30,1,14.5
lemuroides,Lemuroid ringtail possum,1040,,,1,5.4
peregrinus,Ring-tailed possum,850,365,,2,10.1
krefftii,Northern hairy-nosed wombat,31000,,,1,30
latifrons,Southern hairy-nosed wombat,25500,547,21,1,29.9
ursinus,Coarse-haired wombat,25500,730,27,1,30
albiventris,Four-toed hedgehog,500,,35,6,11.4
amurensis,Amur hedgehog,,,,,8
concolor,Eastern European hedgehog,719,,35,4.5,7
europaeus,Western European hedgehog,750,253,30,1.5,11.7
auritus,Long-eared hedgehog,342,,39,4,7.6
aethiopicus,Desert hedgehog,188,,37,3,6.3
hypomelas,Brandt's hedgehog,292,,,3.2,7
arboreus,Tree hyrax,3000,365,229,2,13.6
capensis,Rock hyrax,3600,500,215,3,14.8
brachyurus,Japanese hare,2519,,38,2.1,13
californicus,Black-tailed jackrabbit,4175,,44,1,11.8
europaeus,European hare,4175,,42,2,10.7
timidus,Mountain hare,4175,,50,2,18
cuniculus,European rabbit,1800,,30,5,9
audubonii,Audubon's cottontail rabbit,900,107,29,3,7.8
floridanus,Eastern cottontail,1150,,30,5,9.8
nuttallii,Mountain cottontail,760,,30,3.6,7.4
palustris,Marsh rabbit,1233,,34,2.3,7.6
transitionalis,New England cottontail,902.6,,28,4.8,9.3
hyperborea,Northern pika,120,,28,3,9.4
princeps,American pika,100,,30,3,7
intufi,Long-eared elephant shrew,52,183,52,1.6,9.3
rozeti,North African elephant shrew,48,,76,2.5,7.2
rufescens,Rufous elephant shrew,58,50,61,1,7.9
proboscideus,Short-eared elephant shrew,40,,65,1.6,8.7
chrysopygus,Golden-rumped elephant shrew,540,,42,1,11
anatinus,Duck-billed platypus,1250,548,17,2,22.6
aculeatus,Short-beaked echidna,3500,548,22,1,49.5
bruijni,Long-nosed echidna,7500,,10,1,41.2
rufescens,Long-nosed echymipera,1250,,,2.2,3.1
auratus,Golden bandicoot,485,,12,2.6,6.7
macrourus,Northern brown bandicoot,1600,200,12,4,6.8
obesulus,Southern brown bandicoot,700,,15,2.73,6.5
bougainville,Western barred bandicoot,226,,12,1.8,5.8
gunnii,Eastern barred bandicoot,766,152,12,2,6.1
nasuta,Long-nosed bandicoot,859,,12,2.7,5.6
raffrayana,Raffray's bandicoot,675,150,,3,3.2
lagotis,Rabbit-bandicoot or bilby,1300,,17,2,9.6
asinus,African wild ass,164998,1005,359,1,47
caballus,Horse,300000,973,337,1,57
grevyi,Grevy's zebra,384000,1461,406,1,31
hemionus,Kulan,230000,1187,339,1,31.6
kiang,Kiang,275000,,299,,30.1
quagga,Quagga,280000,900,365,1,38
zebra,Mountain zebra,296000,1279,362,1,33.2
simum,White rhinoceros,2175000,1643,515,1,45
sumatrensis,Sumatran rhinoceros,1260000,,236,1,32.8
bicornis,Black rhinoceros,1100000,2254,474,1,49
unicornis,Indian rhinoceros,1602330,2557,479,1,43.5
indica,Malayan tapir,250000,1095,392,1,36.5
bairdii,Baird's tapir,300000,,401,1,29.6
pinchaque,Mountain tapir,148950,,398,1,28.5
terrestris,Brazilian tapir,250000,1095,398,1,39.6
didactylus,Southern two-toed sloth,6250,1644,279,1,36.8
hoffmanni,Hoffmann's two-toed sloth,6250,1095,350,1,41
tridactyla,Giant anteater,28500,1186,184,1,31
mexicana,Northern tamandua,4500,,163,,16
tetradactyla,Southern tamandua,4500,,160,1,19
azarae,Azara's night monkey,1230,,,1,30
lemurinus,Lemurine night monkey,874,,135,1,33.8
trivirgatus,Northern night monkey,800,730,142,1,30.1
vociferans,Noisy night monkey,873,,,1,22.1
caraya,Black howler monkey,5462.5,928,187,1,32.4
palliata,Mantled howler monkey,7000,1278,186,1,24
seniculus,Red howler monkey,6543.2,,190,1,25
belzebuth,White-bellied spider monkey,7535,1826,184,1,37
chamek,Chamek spider monkey,6000,,,,42.8
fusciceps,Brown-headed spider monkey,7000,1826,227,1,46
geoffroyi,Central American spider monkey,7267.5,1826,232,1,47.1
marginatus,White-whiskered spider monkey,6000,,,,44
paniscus,Black spider monkey,7887.5,1280,229,1,46
arachnoides,Woolly spider monkey or muriqui,11170,,232,1,40
lagothricha,Humboldt's woolly monkey,7650,1520,223,1,32
goeldii,Goeldi's monkey,555,395,153,1,22.2
geoffroyi,Geoffroy's marmoset,342,,,,17.6
jacchus,White-tufted-ear marmoset,255.2,382,144,2,22.8
kuhlii,Weid's black-tufted-ear marmoset,342,,,,20
penicillata,Black-pencilled marmoset,307,,,2,15.4
pygmaea,Pygmy marmoset,124,638,125,2,18.6
fuscicollis,Saddlebacked tamarin,456.5,730,147,1.8,24.9
nigricollis,Black-mantled tamarin,519.2,,140,1.8,20.2
chrysomelas,Golden-headed lion tamarin,535,,,2,21.3
chrysopygus,Golden-rumped lion tamarin,570,,,,17.9
rosalia,Golden lion tamarin,654.5,730,128,2,31.6
argentatus,Silvery marmoset,343.2,334,144,2,16.5
humeralifer,Tassel-eared marmoset,355.8,334,144,2,15
bicolor,Brazilian bare-faced tamarin,495.8,,160,1.63,19
geoffroyi,Geoffroy's tamarin,499.3,,142,2,20.5
imperator,Emperor tamarin,518.5,730,145,2,23.7
labiatus,Red-chested mustached tamarin,501.3,,147,1.9,20.5
leucopus,Silvery-brown bare-face tamarin,490,,142,2,15.2
midas,Midas tamarin,553.8,,127,2,21
mystax,Black-chested mustached tamarin,543.5,540,145,2,20
oedipus,Cotton-top tamarin,445.5,550,178,1.9,26.2
albifrons,White-fronted capuchin,2467.5,1310,158,1,40.4
capucinus,White-faced capuchin,2655,2921,162,1,54
olivaceus,Weeping capuchin,2552.5,,162,1,47
boliviensis,Bolivian squirrel monkey,615,,158,1,30.3
sciureus,South American squirrel monkey,925,1826,161,1,30.2
apella,Brown capuchin,2642.5,,158,1.5,46
nigroviridis,Allen's swamp monkey,4702.5,,,1,27
lhoesti,L'hoest's monkey,4700,,,1,24.1
preussi,Preuss's monkey,5250,,,1,26
agilis,Agile mangabey,8000,,,,31
torquatus,Red-capped mangabey,9492.5,,167,1,46
ascanius,Black-cheeked white-nosed monkey,3705,,147,1,31.2
campbelli,Campbell's monkey,3600,,180,1,30
cephus,Moustached monkey,3585,,172,1,36
diana,Diana monkey,4550,,,1,35.1
erythrogaster,Red-bellied monkey,3250,,,1,24
hamlyni,Owl-faced monkey,4425,,,,28.6
mitis,Blue monkey,9000,1673,132,1,37.8
mona,Mona monkey,4500,,,1,30
neglectus,De Brazza's monkey,5945,2555,177,1,30.8
nictitans,White-nosed guenon,5465,,172,1,31
petaurista,Lesser white-nosed monkey,3650,,,1,29
pogonias,Crowned guenon,3580,,165,1,27
wolfi,Wolf's monkey,3390,,,1,24
aethiops,Vervet,5620,1825,162,1,30.8
angolensis,Angolan colobus,8625,,,1,35.3
guereza,Guereza,9950,2192,175,1,35
polykomos,King colobus,9525,730,185,1,33.9
patas,Patas monkey,7750,1400,167,1,28.3
albigena,Gray-cheeked mangabey,9317.5,,181,1,36
arctoides,Stump-tailed macaque,9275,2099,177,1,29.2
assamensis,Assam macaque,9100,,,,31.4
fascicularis,Long-tailed macaque,6362.5,1544,165,1,39
fuscata,Japanese macaque,8882.5,1369,174,1.5,38.5
maura,Moor macaque,5575,,165,1,33
mulatta,Rhesus monkey,8235,2007,165,1,40
nemestrina,Pigtail macaque,7912.5,1095,172,1,37.6
nigra,Celebes crested macaque,7965,,176,1,34
ochreata,Booted macaque,3950,,,,29
radiata,Bonnet macaque,6755,1795,161,1,30
silenus,Liontail macaque,7875,2511,176,1,40
sinica,Toque macaque,4370,,152,1,29.3
sylvanus,Barbary macaque,10875,2007,164,1.5,29.1
thibetana,Tibetan macaque,10300,,170,1,27
tonkeana,Tonkean macaque,11950,,173,,28.4
leucophaeus,Drill,18250,,179,1,39
sphinx,Mandrill,23000,,173,1,40
talapoin,Talapoin,1384.5,2008,169,1,27.7
larvatus,Proboscis monkey,14617.5,,166,1.25,25.1
hamadryas,Hamadryas baboon,18000,1762,171,1,37.5
melalophos,Mitred leaf monkey,6540,,,1,20
nemaeus,Douc langur,9720,,171,1,26
roxellana,Golden snub-nosed monkey,14750,,199,1,29.5
entellus,Hanuman langur,13516.5,1886,192,1,29
johnii,Hooded leaf monkey,12000,,,1,34
vetulus,Purple-faced leaf monkey,7081.8,,211,1,26.1
gelada,Gelada baboon,16200,2190,168,1,36
auratus,Javan langur,9720,,,,31.1
cristatus,Silvered leaf monkey,6185,,,1,28.3
francoisi,Fran?ois's leaf monkey,7325,,,,26.3
obscurus,Dusky leaf monkey,7080,,145,1,33.9
phayrei,Phayre's leaf monkey,8400,,167,1,28.3
pileatus,Capped leaf monkey,11450,,,,25.2
major,Greater dwarf lemur,395,365,65,2.2,13.4
medius,Fat-tailed dwarf lemur,380,,61,22.2,29
murinus,Gray mouse lemur,64.8,243,61,2,18.2
coquereli,Giant mouse lemur,311.2,275,89,1.8,17.4
furcifer,Fork-marked lemur,400,,174,1,25
madagascariensis,Aye-aye,2277.5,,165,1,32.3
moholi,South African galago,169.2,372,124,1.4,16.6
senegalensis,Senegal galago,192.2,300,126,1.5,17.1
demidoff,Demidoff's galago,60,270,111,1.1,13.4
crassicaudatus,Greater galago,1094.5,639,130,1.5,22.7
garnettii,Small-eared galago,1300,600,132,1,20
gorilla,Gorilla,139842,4015,256,1,60.1
sapiens,Human,62035,5110,280,1,122.5
paniscus,Pygmy chimpanzee or bonobo,39925,,232,1,55
troglodytes,Chimpanzee,44983.5,2920,229,1,59.4
pygmaeus,Orangutan,64475,2555,249,1,59
hoolock,Hoolock gibbon,6875,,,1,41
agilis,Agile gibbon,5925,,,1,49
klossii,Kloss's gibbon,5900,,213,1,37
lar,White-handed gibbon,6810,1825,217,1,56
moloch,Silvery gibbon,6207.5,,243,1,45
muelleri,Borneo gibbon,5765,,207,1,60
pileatus,Pileated gibbon,5735,,228,1,38
concolor,Crested gibbon,6852.5,,207,1,46.1
leucogenys,White-cheeked gibbon,6000,,,,44.1
syndactylus,Siamang,10900,2190,231,1,43
diadema,Diademed sifaka,5550,913,157,1,21
tattersalli,Golden-crowned sifaka,3545,,,,20
verreauxi,Verreaux's sifaka,5000,912,148,1,31
coronatus,Crowned lemur,1645,,126,1.24,27
fulvus,Brown lemur,2485,633,118,1.1,35.5
macaco,Black lemur,2467,266,120,1.4,37.5
mongoz,Mongoose lemur,1555,1065,120,1,36.2
rubriventer,Red-bellied lemur,2191.5,1350,120,1,31.7
griseus,Bamboo lemur,1012.5,1346,145,1.1,23.3
catta,Ring-tailed lemur,2555,912,135,1.1,37.3
simus,Greater bamboo lemur,1737.5,,142,1,17.6
rubra,Red ruffed lemur,3601.3,650,98,2.2,37.5
variegata,Ruffed lemur,3482.3,649,98,1.9,39.4
calabarensis,Calabar angwantibo,257.5,270,133,1,13
tardigradus,Slender loris,238.2,365,166,1.3,21.6
coucang,Slow loris,890.5,,188,1,25.8
pygmaeus,Pygmy slow loris,419,,188,2,19.3
potto,Potto,919.9,547,170,1,32.4
calvus,Red uakari,3165,,182,1,35.8
albinasus,White-nosed bearded saki,2910,,160,1,20
satanas,Brown-bearded saki,2942.5,,160,1,19.6
monachus,Monk saki,1780,,,1,25
pithecia,Guianan saki,1480,1460,158,1,36
cupreus,Coppery titi,1120,,132,1,26.4
donacophilus,Bolivian titi,795,,,1,25
moloch,Dusky titi,804,,163,1,26.2
syrichta,Philippine tarsier,119.2,,179,1,16
bancanus,Western tarsier,122.5,,178,1,16.3
maximus,Asiatic elephant,3178000,3287,644,1,65.5
africana,African bush elephant,4800000,3650,670,1,65
bennettii,Bennett's chinchilla rat,265.5,,,3,2.3
anselli,Ansell's mole-rat,90,365,,,20.6
damarensis,Damaraland mole-rat,180,,93,2.5,15.5
hottentotus,African mole rat,132.5,,81,2.86,11
mechowi,Giant mole-rat,250,,112,2.6,16
capensis,Cape mole-rat,181,304,44,5,11.2
glaber,Naked mole-rat,35,,70,7,31
bailwardi,Mouse-like hamster,20.4,,,3.3,9.4
pilorides,Desmarest's hutia,4683.3,304,125,2,13.8
brownii,Brown's hutia,1500,,123,2,13.5
aedium,Hispaniolan hutia,1267,,119,1,15.9
canadensis,American beaver,20250,639,128,3.5,23.4
aperea,Brazilian guinea pig,341,77,63,2.5,6
porcellus,Guinea pig,728,76,68,3.8,12
tschudii,Montane guinea pig,637.5,,64,1.9,6.3
patagonum,Patagonian mara,12500,183,85,2,14.4
musteloides,Common yellow-toothed cavy,337.9,60,54,2.63,3.5
spixii,Spix's yellow-toothed cavy,450,112,53,2.5,4.6
hydrochaeris,Capybara,55000,456,150,4.8,15.1
rupestris,Rock cavy,950,,75,1.5,12.9
lanigera,Long-tailed chinchilla,642.5,240,111,2,17.2
viscacia,Mountain viscacha,1540,,134,1.5,19.5
maximus,Plains viscacha,6000,456,154,2,10.8
semicanus,Mongolian silver vole,,,,,3.8
amphibius,European water vole,120,45,21,5.1,2.5
taylori,Northern pygmy mouse,8,75,20,3,3.3
barabensis,Striped dwarf hamster,,,,5.3,5.3
cricetus,Black-bellied hamster,506.7,56,20,7,3.6
groenlandicus,Collared lemming,66,85,20,3.4,3.3
talpinus,Northern mole vole,40,,26,3.7,5
lagurus,Steppe lemming,20.3,44,20,4.5,3.8
brandtii,Brandt's vole,40,,,6,4.1
lemmus,Norway lemming,70,44,19,7,3.3
imhausi,Crested rat,755,,,1.75,7.5
auratus,Golden hamster,105,48,16,9,3.9
brandti,Brandt's hamster,174,,15,8,4.4
agrestis,Field vole,46,42,21,4.4,4.8
arvalis,Common vole,27.5,56,21,5.1,4.8
